Country,female_no_education,female_primary,female_secondary,female_tertiary,all_no_education,all_primary,all_secondary,all_tertiary,male_no_education,male_primary,male_secondary,male_tertiary
New Zealand,0.69,32.1,30.79,36.42,0.9,35.19,31.09,32.82,1.11,38.279999999999994,31.39,29.22
Nicaragua,17.18,35.9,35.76,11.17,17.25,36.69,35.48,10.58,17.32,37.48,35.199999999999996,9.99
Niger,82.28,12.38,4.68,0.66,72.85,19.88,6.3,0.97,63.41999999999999,27.379999999999995,7.92,1.2799999999999998
Norway,5.26,0.25,66.0,28.5,5.74,0.25,67.7,26.31,6.220000000000001,0.25,69.4,24.119999999999997
Pakistan,59.15,13.48,23.02,4.35,45.38,17.25,31.67,5.7,31.610000000000007,21.02,40.32000000000001,7.050000000000001
Panama,7.8,29.48,37.51,25.22,7.19,32.11,38.61,22.08,6.580000000000001,34.739999999999995,39.71,18.939999999999998
Papua New Guinea,46.42,43.54,9.05,1.0,37.93,49.28,11.61,1.17,29.439999999999998,55.02,14.169999999999998,1.3399999999999999
Paraguay,4.24,50.74,36.07,8.95,3.49,51.03,37.62,7.86,2.74,51.32,39.169999999999995,6.770000000000001
Peru,8.17,31.87,43.73,16.23,5.13,30.22,48.02,16.62,2.09,28.569999999999997,52.31000000000001,17.01
Philippines,2.76,24.63,47.07,25.54,2.72,27.03,47.04,23.21,2.6800000000000006,29.430000000000003,47.01,20.880000000000003
Poland,0.33,19.41,58.98,21.28,0.27,17.06,63.69,18.98,0.21000000000000002,14.709999999999997,68.4,16.68
Portugal,13.44,39.73,33.2,13.64,10.33,42.59,35.27,11.81,7.220000000000001,45.45000000000001,37.34,9.98
Qatar,4.44,29.18,40.49,25.89,3.59,42.14,37.82,16.44,2.7399999999999993,55.1,35.15,6.990000000000002
Romania,2.2,12.37,75.04,10.38,1.7,10.11,77.56,10.63,1.1999999999999997,7.85,80.08,10.88
Russia,1.09,6.42,31.34,61.51,0.89,5.38,34.8,59.22,0.69,4.34,38.25999999999999,56.93
Rwanda,47.53,38.32,13.09,1.06,45.18,40.39,12.77,1.66,42.83,42.46,12.45,2.26
Saudi Arabia,17.98,19.78,49.66,12.58,12.72,23.05,52.27,11.96,7.460000000000001,26.32,54.88000000000001,11.340000000000002
Senegal,64.8,27.22,6.77,1.28,58.58,30.23,8.91,2.34,52.36,33.24,11.05,3.3999999999999995
Serbia,4.78,11.73,69.66,13.84,2.96,8.99,73.51,14.54,1.1399999999999997,6.25,77.36000000000001,15.239999999999998
Sierra Leone,64.97,14.07,19.96,0.99,57.0,15.56,25.28,2.16,49.03,17.05,30.6,3.33
Singapore,18.57,7.11,39.01,35.31,15.27,6.95,40.17,37.61,11.969999999999999,6.79,41.330000000000005,39.91
Slovakia,0.33,1.35,78.86,19.45,0.3,1.26,80.13,18.32,0.26999999999999996,1.17,81.39999999999999,17.19
Slovenia,0.52,4.14,73.09,22.26,0.66,3.08,76.41,19.86,0.8,2.0200000000000005,79.72999999999999,17.459999999999997
South Africa,6.68,16.76,72.23,4.33,5.65,17.48,72.31,4.56,4.620000000000001,18.2,72.39,4.789999999999999
Spain,3.0,30.28,42.58,24.14,2.25,28.35,45.21,24.19,1.5,26.42,47.84,24.240000000000002
Sri Lanka,6.06,16.17,62.38,15.38,4.43,16.78,64.56,14.23,2.8,17.39,66.74000000000001,13.08
Sudan,61.92,27.36,6.86,3.86,53.74,33.51,9.35,3.4,45.56,39.66,11.84,2.94
Sweden,2.01,11.47,58.29,28.23,2.15,10.94,62.02,24.89,2.29,10.409999999999998,65.75,21.55
Switzerland,1.56,3.63,71.89,22.91,1.61,3.16,65.75,29.47,1.6600000000000001,2.6900000000000004,59.61,36.03
Syria,23.42,39.7,33.4,3.47,16.19,43.51,35.67,4.63,8.96,47.31999999999999,37.940000000000005,5.789999999999999
Tajikistan,0.37,2.88,92.13,4.63,0.27,9.47,83.24,7.02,0.17000000000000004,16.060000000000002,74.35,9.41
Tanzania,23.35,65.06,10.97,0.62,17.69,69.39,12.24,0.69,12.030000000000001,73.72,13.51,0.7599999999999999
Thailand,3.82,51.05,30.94,14.2,3.44,49.44,34.11,13.0,3.06,47.83,37.28,11.8
Togo,52.54,21.6,24.3,1.56,39.63,22.97,34.57,2.83,26.720000000000006,24.339999999999996,44.84,4.1
Tonga,0.69,9.7,85.01,4.61,0.73,9.31,84.75,5.22,0.77,8.920000000000002,84.49,5.829999999999999
Trinidad and Tobago,1.53,31.11,56.49,10.86,1.1,31.74,57.45,9.71,0.6700000000000002,32.37,58.410000000000004,8.560000000000002
Tunisia,28.91,26.48,32.63,11.98,20.87,29.37,37.06,12.7,12.830000000000002,32.260000000000005,41.49,13.419999999999998
Turkey,14.65,45.21,32.56,7.58,9.18,42.99,38.55,9.28,3.709999999999999,40.77,44.53999999999999,10.979999999999999
Uganda,17.36,56.68,24.37,1.59,12.18,59.02,26.52,2.27,7.0,61.36000000000001,28.669999999999998,2.95
Ukraine,1.84,8.21,47.08,42.87,1.25,6.96,52.05,39.73,0.6599999999999999,5.709999999999999,57.019999999999996,36.589999999999996
United Arab Emirates,8.35,15.63,57.01,19.01,9.72,22.62,53.27,14.39,11.090000000000002,29.61,49.53000000000001,9.77
United Kingdom,0.19,15.9,58.35,25.56,0.15,14.9,59.45,25.5,0.10999999999999999,13.9,60.550000000000004,25.44
United States,0.35,2.59,41.82,55.25,0.35,2.75,42.96,53.94,0.35,2.91,44.1,52.629999999999995
Uruguay,1.46,44.56,44.79,9.19,1.34,46.47,44.57,7.63,1.2200000000000002,48.379999999999995,44.35,6.07
Venezuela,5.42,32.16,46.94,15.48,5.33,35.7,45.9,13.07,5.24,39.24000000000001,44.86,10.66
Vietnam,16.84,25.48,52.59,5.08,15.2,22.65,56.41,5.74,13.559999999999999,19.819999999999997,60.22999999999999,6.4
Yemen,72.53,7.14,17.57,2.76,57.49,15.97,23.66,2.88,42.45,24.8,29.75,3.0
Zambia,18.95,39.01,41.39,0.65,13.96,38.53,46.55,0.97,8.970000000000002,38.050000000000004,51.709999999999994,1.29
Zimbabwe,6.92,40.84,51.76,0.48,5.08,39.28,54.89,0.75,3.24,37.72,58.02,1.02
