Country of origin,Location Description,Female 0 - 4,Female 5 - 11,Female 12 - 17,Female 18 - 59,Female 60,Female other,Male 0 - 4,Male 5 - 11,Male 12 - 17,Male 18 - 59,Male 60,Male other
Colombia,New Jersey,28,62,49,358,9,21,16,66,50,393,18,22
Colombia,New York,23,61,41,356,7,35,24,53,43,349,8,34
Colombia,Pennsylvania,0,8,6,40,0,5,0,6,6,60,0,0
Colombia,Texas,22,47,39,286,5,22,27,39,44,340,11,25
Colombia,Virginia,5,6,6,52,0,0,0,5,8,46,0,0
Costa Rica,California,6,0,0,0,0,0,0,0,0,5,0,0
Costa Rica,Florida,5,7,0,11,0,0,6,7,0,18,0,5
Costa Rica,Maryland,0,0,0,0,0,0,0,5,0,0,0,0
Costa Rica,New Jersey,0,0,0,80,0,0,0,0,0,106,7,5
Costa Rica,New York,5,0,5,0,0,0,0,6,0,0,0,0
Costa Rica,Pennsylvania,0,0,0,6,0,0,0,0,0,5,0,0
Costa Rica,Texas,7,0,0,0,0,0,0,0,0,5,0,0
Costa Rica,Virginia,0,0,0,0,0,0,0,0,0,5,0,0
Cuba,California,0,9,0,116,0,5,0,7,5,204,6,23
Cuba,Florida,251,613,411,10412,242,551,253,659,469,12285,245,1026
Cuba,Illinois,0,0,6,36,0,0,5,0,0,49,0,13
Cuba,Maryland,0,0,0,8,0,0,0,0,0,16,0,10
Cuba,Massachusetts,0,0,0,17,0,0,0,0,0,16,0,0
Cuba,New Jersey,0,8,5,104,0,6,0,8,0,139,0,14
Cuba,New York,0,8,0,95,0,5,0,0,7,127,5,5
Cuba,Pennsylvania,8,0,0,86,0,0,6,0,6,130,0,11
Cuba,Texas,61,137,83,2858,64,155,42,129,91,3587,63,262
Cuba,Virginia,0,5,0,35,0,8,0,6,0,50,0,5
Cabo Verde,Massachusetts,0,0,0,10,0,0,0,0,0,9,0,0
Cyprus,Pennsylvania,0,0,0,7,0,0,0,0,0,0,0,0
Czech Republic,Illinois,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,New York,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,California,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,California,0,0,0,0,0,0,0,5,0,0,0,0
Djibouti,Illinois,0,0,5,0,0,0,0,0,0,0,0,0
Djibouti,Maryland,0,0,0,6,0,0,0,0,0,5,0,0
Djibouti,New York,0,0,0,5,0,0,0,0,0,0,0,0
Djibouti,Virginia,0,0,0,0,0,0,0,0,0,5,0,0
Dominica,Massachusetts,0,0,0,7,0,0,0,0,0,0,0,0
